[INFO] [2016-12-19 23:04:08][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=190180&n_s=new
[INFO] [2016-12-19 23:04:08][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=208491&n_s=new
[INFO] [2016-12-19 23:04:08][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=209417&n_s=new
[INFO] [2016-12-19 23:04:08][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=209572&n_s=new
[INFO] [2016-12-19 23:04:08][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=200767&n_s=new
[INFO] [2016-12-19 23:04:08][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=168138&n_s=new
[INFO] [2016-12-19 23:04:08][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=138217&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=207538&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=208070&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=201537&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=190456&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=207737&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=209592&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=207913&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=178434&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=206857&n_s=new
[INFO] [2016-12-19 23:04:09][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=190628&n_s=new
[INFO] [2016-12-19 23:04:10][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=209460&n_s=new
[INFO] [2016-12-19 23:04:10][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=208705&n_s=new
[INFO] [2016-12-19 23:04:10][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=207345&n_s=new
[INFO] [2016-12-19 23:04:11][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=209496&n_s=new
[INFO] [2016-12-19 23:04:11][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page http://dianying.taobao.com/showDetail.htm?showId=164276&n_s=new
